address,suburb,postcode,price_raw,property_type,bedrooms,bathrooms,car_spaces,land_size,distance_km_from_wilgena,high_schools,primary_schools,url
"3/126 Cross Road,Highgate SA 5063",Highgate,5063,Offers Closing 09/09 USP,Townhouse,3,1,2,N/A,0.84,Unley High School [Prestigious Zone]; Mitcham Girls High School (State-wide Zone for girls),Highgate School (Top Ranked Primary),https://www.homely.com.au/homes/3-126-cross-road-highgate-sa-5063/13439667
"6/2 Cross Street,Fullarton SA 5063",Fullarton,5063,$850k - $920k,House,3,1,1,N/A,1.24,Glenunga International High (GIHS) / Unley High (Dual Zone depending on street); Mitcham Girls High School (State-wide Zone for girls),Highgate School / Parkside Primary,https://www.homely.com.au/homes/6-2-cross-street-fullarton-sa-5063/13455168
"1,2,3,4,5/348 Fullarton Road,Fullarton SA 5063",Fullarton,5063,"$1,000,000 - $1,100,000",House,3,2,3,181.42 m²,1.24,Glenunga International High (GIHS) / Unley High (Dual Zone depending on street); Mitcham Girls High School (State-wide Zone for girls),Highgate School / Parkside Primary,https://www.homely.com.au/homes/12345-348-fullarton-road-fullarton-sa-5063/12511884
"3/40 Windsor Road,Glenunga SA 5064",Glenunga,5064,"$1,050,000 - $1,100,000",Unit / Villa,3,2,1,1570.061376 m²,1.24,Glenunga International High School (GIHS) [Tier 1 Zone]; Mitcham Girls High School (State-wide Zone for girls),Glenunga International Primary / Linden Park Primary,https://www.homely.com.au/homes/3-40-windsor-road-glenunga-sa-5064/13354639
"36 Fisher Street,Fullarton SA 5063",Fullarton,5063,$1.25m - $1.35m,House,3,2,2,474 m²,1.24,Glenunga International High (GIHS) / Unley High (Dual Zone depending on street); Mitcham Girls High School (State-wide Zone for girls),Highgate School / Parkside Primary,https://www.homely.com.au/homes/36-fisher-street-fullarton-sa-5063/13412230
"3/44 Florence Street,Fullarton SA 5063",Fullarton,5063,Best Offer By Monday 28th September @ 5pm,Townhouse,3,2,2,199 m²,1.24,Glenunga International High (GIHS) / Unley High (Dual Zone depending on street); Mitcham Girls High School (State-wide Zone for girls),Highgate School / Parkside Primary,https://www.homely.com.au/homes/3-44-florence-street-fullarton-sa-5063/13500599
"6/308 Fullarton Road,Fullarton SA 5063",Fullarton,5063,UNDER CONTRACT,Townhouse,3,2,2,107 m²,1.24,Glenunga International High (GIHS) / Unley High (Dual Zone depending on street); Mitcham Girls High School (State-wide Zone for girls),Highgate School / Parkside Primary,https://www.homely.com.au/homes/6-308-fullarton-road-fullarton-sa-5063/12959944
"4 Elinor Terrace,Glen Osmond SA 5064",Glen Osmond,5064,Under Contract,House,3,1,3,914 m²,1.36,Glenunga International High School (GIHS) [Tier 1 Zone]; Mitcham Girls High School (State-wide Zone for girls),Glen Osmond Primary School,https://www.homely.com.au/homes/4-elinor-terrace-glen-osmond-sa-5064/13194447
"16/5 Mount Barker Road,Urrbrae SA 5064",Urrbrae,5064,EOI: ($1.1M-$1.2M) Closes Monday 20 Sept,House,3,2,2,1560.771072 m²,1.55,Unley High School [Prestigious Zone]; Mitcham Girls High School (State-wide Zone for girls),Local Zoned Public Primary,https://www.homely.com.au/homes/16-5-mount-barker-road-urrbrae-sa-5064/13479344
"15 Main Avenue,Frewville SA 5063",Frewville,5063,Auction On-Site Saturday 26th September 10:00AM,House,3,1,1,159 m²,1.7,Glenunga International High School (GIHS) [Tier 1 Zone]; Mitcham Girls High School (State-wide Zone for girls),Linden Park Primary / Parkside Primary,https://www.homely.com.au/homes/15-main-avenue-frewville-sa-5063/13491031
"4/40 Cedar Crescent,Glenside SA 5065",Glenside,5065,Best Offers By 15/9 (USP),House,3,1,2,N/A,2.06,Glenunga International High School (GIHS) [Tier 1 Zone]; Mitcham Girls High School (State-wide Zone for girls),Linden Park Primary / Parkside Primary,https://www.homely.com.au/homes/4-40-cedar-crescent-glenside-sa-5065/13373064
"13A Broughton Street,Glenside SA 5065",Glenside,5065,Best Offers by 28/9 (USP),House,3,1,1,418 m²,2.06,Glenunga International High School (GIHS) [Tier 1 Zone]; Mitcham Girls High School (State-wide Zone for girls),Linden Park Primary / Parkside Primary,https://www.homely.com.au/homes/13a-broughton-street-glenside-sa-5065/13494295
"3/20 Randolph Avenue,Parkside SA 5063",Parkside,5063,"$1,195,000-$1,295,000",House,3,2,2,N/A,2.35,Glenunga International High / Adelaide High / Adelaide Botanic High (Border Zone); Mitcham Girls High School (State-wide Zone for girls),Local Zoned Public Primary,https://www.homely.com.au/homes/3-20-randolph-avenue-parkside-sa-5063/13345076
"301/293 Fullarton Road,Parkside SA 5063",Parkside,5063,"$1,200,000 - $1,250,000",Apartment,3,2,2,162 m²,2.35,Glenunga International High / Adelaide High / Adelaide Botanic High (Border Zone); Mitcham Girls High School (State-wide Zone for girls),Local Zoned Public Primary,https://www.homely.com.au/homes/301-293-fullarton-road-parkside-sa-5063/13019741
"339B Fullarton Road,Parkside SA 5063",Parkside,5063,Contact Agent,Townhouse,3,2,2,N/A,2.35,Glenunga International High / Adelaide High / Adelaide Botanic High (Border Zone); Mitcham Girls High School (State-wide Zone for girls),Local Zoned Public Primary,https://www.homely.com.au/homes/339b-fullarton-road-parkside-sa-5063/9512096
"7 Leicester Street,Parkside SA 5063",Parkside,5063,SOLD - Contact Agent,House,3,1,3,817 m²,2.35,Glenunga International High / Adelaide High / Adelaide Botanic High (Border Zone); Mitcham Girls High School (State-wide Zone for girls),Local Zoned Public Primary,https://www.homely.com.au/homes/7-leicester-street-parkside-sa-5063/12570454
"1 & 4/283 Fullarton Road,Parkside SA 5063",Parkside,5063,Contact Agent,Townhouse,3,2,2,N/A,2.35,Glenunga International High / Adelaide High / Adelaide Botanic High (Border Zone); Mitcham Girls High School (State-wide Zone for girls),Local Zoned Public Primary,https://www.homely.com.au/homes/1-4-283-fullarton-road-parkside-sa-5063/13412921
"29 Robsart Street,Parkside SA 5063",Parkside,5063,Best Offers,House,3,1,2,790 m²,2.35,Glenunga International High / Adelaide High / Adelaide Botanic High (Border Zone); Mitcham Girls High School (State-wide Zone for girls),Local Zoned Public Primary,https://www.homely.com.au/homes/29-robsart-street-parkside-sa-5063/13316254
